Date,Value,Anomaly
1895,34.2,-3.2
1896,34.7,-2.7
1897,35.5,-1.9
1898,39.6,2.2
1899,36.4,-1.0
1900,37.4,0.0
1901,37.0,-0.4
1902,35.0,-2.4
1903,35.5,-1.9
1904,29.8,-7.6
1905,33.7,-3.7
1906,42.3,4.9
1907,40.5,3.1
1908,38.3,0.9
1909,39.6,2.2
1910,36.1,-1.3
1911,40.7,3.3
1912,29.3,-8.1
1913,46.9,9.5
1914,36.9,-0.5
1915,38.9,1.5
1916,42.3,4.9
1917,38.4,1.0
1918,26.5,-10.9
1919,40.6,3.2
1920,29.7,-7.7
1921,39.7,2.3
1922,33.4,-4.0
1923,35.2,-2.2
1924,39.4,2.0
1925,33.8,-3.6
1926,37.2,-0.2
1927,36.8,-0.6
1928,40.0,2.6
1929,37.8,0.4
1930,38.5,1.1
1931,38.2,0.8
1932,47.6,10.2
1933,45.6,8.2
1934,39.8,2.4
1935,35.0,-2.4
1936,34.3,-3.1
1937,45.7,8.3
1938,37.3,-0.1
1939,36.8,-0.6
1940,30.0,-7.4
1941,34.5,-2.9
1942,36.5,-0.9
1943,36.1,-1.3
1944,39.0,1.6
1945,31.5,-5.9
1946,40.2,2.8
1947,43.0,5.6
1948,30.1,-7.3
1949,43.5,6.1
1950,47.6,10.2
1951,42.5,5.1
1952,42.4,5.0
1953,42.4,5.0
1954,37.0,-0.4
1955,35.6,-1.8
1956,36.2,-1.2
1957,33.8,-3.6
1958,36.4,-1.0
1959,37.1,-0.3
1960,37.8,0.4
1961,31.9,-5.5
1962,38.0,0.6
1963,34.6,-2.8
1964,40.2,2.8
1965,34.0,-3.4
1966,37.1,-0.3
1967,41.6,4.2
1968,31.7,-5.7
1969,35.7,-1.7
1970,29.9,-7.5
1971,31.5,-5.9
1972,40.5,3.1
1973,40.6,3.2
1974,39.7,2.3
1975,41.7,4.3
1976,32.6,-4.8
1977,26.1,-11.3
1978,32.3,-5.1
1979,38.6,1.2
1980,38.0,0.6
1981,30.6,-6.8
1982,30.9,-6.5
1983,38.0,0.6
1984,33.5,-3.9
1985,33.0,-4.4
1986,39.3,1.9
1987,35.9,-1.5
1988,34.2,-3.2
1989,42.4,5.0
1990,46.0,8.6
1991,39.6,2.2
1992,40.9,3.5
1993,41.0,3.6
1994,31.6,-5.8
1995,42.6,5.2
1996,37.0,-0.4
1997,39.2,1.8
1998,45.8,8.4
1999,40.8,3.4
2000,37.8,0.4
2001,38.8,1.4
2002,45.4,8.0
2003,32.9,-4.5
2004,31.0,-6.4
2005,37.4,0.0
2006,47.6,10.2
2007,43.6,6.2
2008,42.4,5.0
2009,33.4,-4.0
2010,38.1,0.7
2011,34.8,-2.6
2012,44.2,6.8
2013,40.8,3.4
2014,35.5,-1.9
2015,36.1,-1.3
2016,40.8,3.4
2017,42.8,5.4
2018,38.7,1.3
