Date,Value,Anomaly
189512,52.1,-1.8
189612,52.3,-1.6
189712,52.3,-1.6
189812,53.8,-0.1
189912,52.7,-1.2
190012,52.9,-1.0
190112,51.2,-2.7
190212,51.7,-2.2
190312,51.7,-2.2
190412,49.2,-4.7
190512,51.5,-2.4
190612,53.1,-0.8
190712,51.0,-2.9
190812,53.1,-0.8
190912,51.8,-2.1
191012,51.6,-2.3
191112,52.8,-1.1
191212,52.1,-1.8
191312,54.3,0.4
191412,51.4,-2.5
191512,52.8,-1.1
191612,51.6,-2.3
191712,50.1,-3.8
191812,52.6,-1.3
191912,53.2,-0.7
192012,52.0,-1.9
192112,54.6,0.7
192212,53.2,-0.7
192312,52.4,-1.5
192412,51.4,-2.5
192512,53.0,-0.9
192612,50.7,-3.2
192712,52.9,-1.0
192812,53.0,-0.9
192912,53.3,-0.6
193012,53.7,-0.2
193112,55.0,1.1
193212,54.3,0.4
193312,53.6,-0.3
193412,52.4,-1.5
193512,52.5,-1.4
193612,52.8,-1.1
193712,53.9,0.0
193812,54.6,0.7
193912,54.1,0.2
194012,51.3,-2.6
194112,54.3,0.4
194212,53.5,-0.4
194312,53.2,-0.7
194412,54.1,0.2
194512,53.5,-0.4
194612,54.8,0.9
194712,53.2,-0.7
194812,53.5,-0.4
194912,56.3,2.4
195012,53.0,-0.9
195112,54.4,0.5
195212,55.2,1.3
195312,56.5,2.6
195412,54.3,0.4
195512,54.1,0.2
195612,52.9,-1.0
195712,54.9,1.0
195812,52.0,-1.9
195912,54.8,0.9
196012,53.4,-0.5
196112,54.5,0.6
196212,52.8,-1.1
196312,53.0,-0.9
196412,54.0,0.1
196512,53.6,-0.3
196612,54.5,0.6
196712,52.4,-1.5
196812,53.5,-0.4
196912,54.2,0.3
197012,53.7,-0.2
197112,54.6,0.7
197212,53.3,-0.6
197312,55.5,1.6
197412,54.1,0.2
197512,54.4,0.5
197612,52.9,-1.0
197712,53.5,-0.4
197812,52.2,-1.7
197912,54.3,0.4
198012,53.8,-0.1
198112,54.0,0.1
198212,53.6,-0.3
198312,54.8,0.9
198412,54.2,0.3
198512,54.6,0.7
198612,54.5,0.6
198712,54.7,0.8
198812,54.3,0.4
198912,53.5,-0.4
199012,56.7,2.8
199112,56.7,2.8
199212,53.5,-0.4
199312,55.0,1.1
199412,54.8,0.9
199512,55.0,1.1
199612,54.1,0.2
199712,54.7,0.8
199812,57.5,3.6
199912,56.9,3.0
200012,54.2,0.3
200112,56.6,2.7
200212,56.8,2.9
200312,53.8,-0.1
200412,54.9,1.0
200512,56.1,2.2
200612,57.2,3.3
200712,55.4,1.5
200812,55.7,1.8
200912,54.4,0.5
201012,57.1,3.2
201112,56.8,2.9
201212,57.7,3.8
201312,55.6,1.7
201412,54.4,0.5
201512,56.7,2.8
201612,57.2,3.3
201712,56.4,2.5
