State,Name,Party,TwitterHandle,TwitterID
AL,Richard Shelby,R,SenShelby,21111098
AL,Doug Jomes,D,SenDougJones,941080085121175552
AK,Lisa Murkowski,R,lisamurkowski,18061669
AK,Dan Sullivan,R,SenDanSullivan,2891210047
AZ,Jon Kyl,R,SenJonKyl,24905240
AZ,Jeff Flake,R,JeffFlake,16056306
AR,Tom Cotton,R,SenTomCotton,968650362
AR,John Boozman,R,JohnBoozman,5558312
CA,Dianne Feinstein,D,SenFeinstein,476256944
CA,Kamala Harris,D,SenKamalaHarris,803694179079458816
CO,Michael Bennet,D,SenBennetCO,224285242
CO,Cory Gardner,R,SenCoryGardner,235217558
CT,Christopher Murphy,D,ChrisMurphyCT,150078976
CT,Richard Blumenthal,D,SenBlumenthal,278124059
DE,Tom Carper,D,SenatorCarper,249787913
DE,Chris Coons,D,ChrisCoons,15324851
FL,Bill Nelson,D,SenBillNelson,20597460
FL,Marco Rubio,R,marcorubio,15745368
GA,David Perdue,R,SenDavidPerdue,2863210809
GA,Johnny Isakson,R,SenatorIsakson,78403308
HI,Brian Schatz,D,brianschatz,47747074
HI,Mazie Hirono,D,maziehirono,92186819
ID,Mike Crapo,R,MikeCrapo,600463589
ID,Jim Risch,R,SenatorRisch,1096059529
IL,Tammy Duckworth,D,SenDuckworth,1058520120
IL,Dick Durbin,D,SenatorDurbin,247334603
IN,Joe Donnelly,D,SenDonnelly,216503958
IN,Todd Young,R,SenToddYoung,234128524
IA,Chuck Grassley,R,ChuckGrassley,10615232
IA,Joni Ernst,R,joniernst,1383059977
KS,Pat Roberts,R,SenPatRoberts,75364211
KS,Jerry Moran,R,JerryMoran,18632666
KY,Mitch McConnell,R,SenateMajLdr,1249982359
KY,Rand Paul,R,RandPaul,216881337
LA,Bill Cassidy,R,BillCassidy,55677432
LA,John Kennedy,R,SenJohnKennedy,816683274076614656
ME,Angus King,I,SenAngusKing,1068481578
ME,Susan Collins,R,SenatorCollins,19726613
MD,Chris VanHollen,D,ChrisVanHollen,18137749
MD,Ben Cardin,D,SenatorCardin,109071031
MA,Ed Markey,D,senmarkey,21406834
MA,Elizabeth Warren,D,SenWarren,970207298
MI,Gary Peters,D,SenGaryPeters,236511574
MI,Debbie Stabenow,D,SenStabenow,76456274
MN,Amy Klobuchar,D,amyklobuchar,33537967
MN,Tina Smith,D,SenTinaSmith,941000686275387392
MS,Cindy Hyde-Smith,R,SenHydeSmith,983348251972816896
MS,Roger Wicker,R,SenatorWicker,264219447
MO,Claire McCaskill,D,clairecmc,16160352
MO,Roy Blunt,R,RoyBlunt,21269970
MT,Steve Daines,R,SteveDaines,11651202
MT,Jon Tester,D,SenatorTester,515822213
NE,Deb Fischer,R,SenatorFischer,1071402577
NE,Ben Sasse,R,BenSasse,1480852568
NV,Catherine Cortez Masto,D,SenCortezMasto,811313565760163844
NV,Dean Heller,R,SenDeanHeller,266133081
NH,Jeanne Shaheen,D,SenatorShaheen,109287731
NH,Maggie Hassan,D,SenatorHassan,946549322
NJ,Cory Booker,D,CoryBooker,15808765
NJ,Bob Menendez,D,SenatorMenendez,18695134
NM,Martin Heinrich,D,MartinHeinrich,1099199839
NM,Tom Udall,D,SenatorTomUdall,60828944
NY,Chuck Schumer,D,SenSchumer,17494010
NY,Kirsten Gillibrand,D,SenGillibrand,72198806
NC,Richard Burr,R,SenatorBurr,21157904
NC,Thom Tillis,R,SenThomTillis,2964174789
ND,Heidi Heitkamp,D,SenatorHeitkamp,1061029050
ND,John Hoeven,R,SenJohnHoeven,382791093
OH,Sherrod Brown,D,SenSherrodBrown,43910797
OH,Rob Portman,R,SenRobPortman,18915145
OK,Jim Inhofe,R,jiminhofe,7270292
OK,James Lankford,R,SenatorLankford,225921757
OR,Ron Wyden,D,RonWyden,250188760
OR,Jeff Merkley,D,SenJeffMerkley,29201047
PA,Bob Casey,D,SenBobCasey,171598736
PA,Pat Toomey,R,SenToomey,221162525
RI,Jack Reed,D,SenJackReed,486694111
RI,Sheldon Whitehouse,D,SenWhitehouse,242555999
SC,Lindsey Graham,R,LindseyGrahamSC,432895323
SC,Tim Scott,R,SenatorTimScott,217543151
SD,Mike Rounds,R,SenatorRounds,2955485182
SD,John Thune,R,SenJohnThune,296361085
TN,Lamar Alexander,R,SenAlexander,76649729
TN,Bob Corker,R,BobCorker,283130017
TX,John Cornyn,R,JohnCornyn,13218102
TX,Ted Cruz,R,SenTedCruz,1074480192
UT,Orrin Hatch,R,SenOrrinHatch,262756641
UT,Mike Lee,R,SenMikeLee,88784440
VT,Patrick Leahy,D,SenatorLeahy,242836537
VT,Bernie Sanders,I,SenatorSanders,946946130
VA,Tim Kaine,D,timkaine,172858784
VA,Mark Warner,D,MarkWarner,7429102
WA,Patty Murray,D,PattyMurray,293131808
WA,Maria Cantwell,D,SenatorCantwell,117501995
WV,Shelley Moore Capito,R,SenCapito,193794406
WV,Joe Manchin,D,Sen_JoeManchin,234374703
WI,Tammy Baldwin,D,SenatorBaldwin,1074518754
WI,Ron Johnson,R,SenRonJohnson,233737858
WY,Mike Enzi,R,SenatorEnzi,291756142
WY,John Barrasso,R,SenJohnBarrasso,202206694
